Freq,FreqOfFreq
1,17592
2,4289
3,1909
4,1037
5,687
6,456
7,393
8,283
9,224
10,193
11,155
12,135
13,119
15,107
14,102
16,86
17,71
20,67
19,64
18,63
21,48
24,47
22,44
23,42
31,42
29,38
28,36
30,30
26,29
27,29
32,29
25,28
33,25
34,25
38,22
35,21
36,19
37,19
42,17
39,15
40,14
46,14
43,14
44,13
41,13
53,12
52,12
47,12
56,12
51,11
66,10
67,10
64,10
59,9
72,9
69,9
60,9
48,8
49,8
50,8
83,7
70,7
65,7
62,7
45,7
76,6
61,6
81,5
57,5
94,5
54,5
78,5
58,5
104,4
68,4
79,4
128,4
107,4
133,4
100,4
71,4
91,4
89,4
55,4
93,4
85,4
82,3
90,3
167,3
95,3
114,3
77,3
164,3
118,3
120,3
96,3
123,3
87,3
75,3
74,3
73,3
102,3
63,3
213,3
136,3
233,3
99,3
108,3
105,2
106,2
92,2
134,2
156,2
112,2
186,2
182,2
180,2
262,2
165,2
163,2
140,2
193,2
139,2
212,2
130,2
125,2
122,2
115,2
188,2
80,1
86,1
2001,1
88,1
265,1
328,1
327,1
323,1
310,1
294,1
288,1
287,1
268,1
264,1
221,1
257,1
252,1
250,1
249,1
234,1
229,1
227,1
225,1
329,1
330,1
331,1
332,1
1025,1
999,1
793,1
731,1
688,1
662,1
584,1
520,1
462,1
445,1
444,1
436,1
404,1
403,1
398,1
343,1
333,1
224,1
208,1
98,1
127,1
149,1
146,1
145,1
144,1
143,1
142,1
137,1
129,1
126,1
203,1
117,1
116,1
113,1
1481,1
110,1
109,1
103,1
101,1
150,1
151,1
153,1
154,1
199,1
196,1
195,1
189,1
187,1
184,1
183,1
181,1
179,1
178,1
177,1
174,1
171,1
170,1
169,1
158,1
157,1
111,1
