Word,Freq
மற்றும்,2001
ஆம்,1481
அல்லது,1025
வேண்டும்,999
அவர்,793
திகதி,731
உத்தியோகத்தர்,688
கீழ்,662
செயலாளர்,584
தொடர்பாக,520
மூலம்,462
இலக்கம்,445
மேற்படி,444
ஒரு,436
பெற்றுக்,404
கெளரவ,403
கல்வி,398
2,343
பணிப்பாளர்,333
பிரதேச,332
உரிய,331
இலங்கை,330
அரச,329
இந்த,328
தேசிய,327
இலக்க,323
அரசாங்க,310
அபிவிருத்தி,294
நிதி,288
யாது,287
சேவை,268
நடவடிக்கை,265
யாவை,264
1,262
போது,262
திகதிய,257
சட்டத்தின்,252
எண்ணிக்கை,250
விசேட,249
தேவையான,234
அறிவிப்பாரா,233
அமைச்சின்,233
பிரிவின்,233
கேட்பதற்கு,229
குறித்த,227
முடியும்,225
ஒருவர்,224
02,221
கடன்,213
சம்பள,213
எம்,213
அமைச்சரைக்,212
தொடர்பான,212
மாதம்,208
எவ்வளவு,203
பற்றிய,199
மாகாண,196
ஏனைய,195
3,193
முதல்,193
மாவட்ட,189
திரு,188
கொண்ட,188
வேண்டிய,187
சகல,186
அந்த,186
செய்யப்பட்ட,184
என்பதை,183
விடயம்,182
ஆந்,182
வரை,181
சபை,180
உங்கள்,180
சட்டமூலம்,179
பாடசாலை,178
ஆண்டின்,177
எனது,174
ப,171
பிரிவு,170
அமைச்சு,169
புதிய,167
தயவுடன்,167
அத்தகைய,167
இச்சபைக்கு,165
முன்னர்,165
இத்துடன்,164
ரூபா,164
என்பதையும்,164
அதன்,163
உதவி,163
செய்து,158
தனது,157
கடிதம்,156
குறிப்பிடுவாரா,156
எஸ்,154
பொது,153
சமூக,151
அனைத்து,150
செய்தல்,149
பி,146
அது,145
03,144
உள்ள,143
தயவாய்,142
பயிற்சி,140
ஆண்டு,140
ஒருவருக்கு,139
திணைக்களத்,139
2011,137
பீ,136
பின்னர்,136
அறிக்கை,136
5,134
ஏ,134
பெயர்,133
கிராம,133
பதவி,133
மத்திய,133
தகவல்,130
நடவடிக்கைகள்,130
மேலதிக,129
கட்டளை,128
நிகழ்ச்சி,128
பிரதி,128
சேவைகள்,128
சம்பளம்,127
அ,126
அவரது,125
கொடுப்பனவு,125
மேலும்,123
முன்,123
வேறு,123
திணைக்களம்,122
படி,122
இரண்டாம்,120
வருடாந்த,120
கல்விப்,120
இல,118
அவ்வாறு,118
ஊடாக,118
லீவு,117
அதிகாரி,116
கொள்ளல்,115
கே,115
மேற்குறித்த,114
காரணமாக,114
கூடிய,114
மதிப்பீடு,113
மொழி,112
வெளிநாட்டு,112
த,111
கொண்டு,110
4,109
தலைவர்,108
மொழிகள்,108
அவருக்கு,108
பொ,107
அமைச்சர்,107
வழங்க,107
விடுமுறை,107
அங்கீகரிக்கப்படுமாக,106
பாதுகாப்பு,106
இது,105
காலம்,105
தொகை,104
திருமதி,104
தற்போது,104
அடிப்படையில்,104
ஒவ்வொரு,103
அதற்கமைய,102
01,102
நாயகம்,102
குறிப்பிடப்பட்டுள்ள,101
ஆகிய,100
தொகை,100
பற்றி,100
சார்பாக,100
அதற்கு,99
பெற்ற,99
அதிவிசேட,99
கொள்ள,98
10,96
நிறுவனம்,96
என்ற,96
KDS,95
உத்தியோகத்தரின்,95
செலவு,95
ஒவ்வொரு,94
இரண்டு,94
சனநாயக,94
செய்யும்,94
ஆண்டில்,94
அரசியலமைப்பின்,93
மாத்தளை,93
ஆர்,93
சமர்ப்பிக்கப்பட்டதுமான,93
வகையில்,92
“,92
செய்ய,91
மீண்டும்,91
ஏற்ப,91
தெரிவு,91
சிறுவர்,90
சோசலிசக்,90
தமிழ்,90
அரசாங்கம்,89
ஆணையாளர்,89
பின்வரும்,89
இலங்கைச்,89
ஏற்பாடுகள்,88
வேண்டியது,87
வழங்குதல்,87
எச்,87
2016,86
முகாமைத்துவ,85
04,85
என,85
அனுமதி,85
திகதிக்கு,83
PBK,83
ஓய்வு,83
பதிவு,83
விளையாட்டு,83
அறிவிக்கிறேன்,83
ஊழியர்,83
காரியாலயம்,82
அமைய,82
திட்டமிடல்,82
ரூ,81
சேவையில்,81
தொழில்,81
திணைக்களத்தின்,81
ஓர்,81
புகையிரத,80
ம்,79
எனக்கு,79
”,79
இதன்,79
11,78
7,78
பிரதான,78
ஒன்று,78
வழங்கப்பட்ட,78
உத்தியோகத்தர்கள்,77
வழங்கப்படும்,77
பரீட்சை,77
சந்தர்ப்பங்களில்,76
குறிப்பிட்ட,76
அலுவல்கள்,76
ஆக்கப்பட்டு,76
உத்தியோகத்தருக்கு,76
வழங்கப்பட்டுள்ள,76
நீங்கள்,75
இணைப்பு,75
வைத்திய,75
பணிகள்,74
அதற்காக,74
கொள்வனவு,74
நிறுவனத்தின்,73
சுகாதார,73
மூன்று,73
குழு,72
ஆசிரியர்,72
ஆமெனில்,72
30,72
கொ,72
நிரந்தர,72
வரவு,72
பெயர்கள்,72
பிரிவில்,72
ஊடக,71
தனித்தனியாக,71
05,71
கூடாது,71
குறைந்த,70
பிரகாரம்,70
பணம்,70
மக்கள்,70
கௌரவ,70
கணக்காய்வாளர்,70
சான்றிதழ்,70
நிலை,69
கற்கை,69
அதிகார,69
பரிசீலனை,69
ஆகும்,69
க,69
பிரதம,69
அறிவித்தல்,69
டி,69
நிலையம்,68
செய்வதற்கு,68
இலங்கையில்,68
ஏதேனும்,68
14,67
நடவடிக்கைகளை,67
பொது,67
பூர்த்தி,67
கால,67
இருந்து,67
திட்டம்,67
வழங்கப்படுகின்ற,67
வர்த்தமானியில்,67
நிருவாக,67
தகவல்களை,66
விடயங்கள்,66
இச்சபையில்,66
அரசகரும,66
நிகழ்ச்சிகள்,66
சபையின்,66
நாவலபிட்டிய,66
என்,66
அதிபர்,66
ஒளிபரப்பு,66
மருத்துவ,65
காலப்,65
உங்களுக்கு,65
கடமை,65
பதில்,65
வாக்களிப்பு,65
மோட்டார்,65
வேலை,64
எடுப்பாரா,64
செய்யப்படும்,64
2012,64
சிறந்த,64
ஜீ,64
கடந்த,64
குடியரசின்,64
தொடர்பாடல்,64
அறிவாரா,64
வீதி,63
நிகழ்ச்சித்,63
சம்பந்தப்பட்ட,63
தற்போது,62
வழங்கும்,62
பெற்று,62
ஒழுங்கு,62
முறையில்,62
தொடர்பில்,62
சேவையின்,62
2014,61
அறியத்,61
பணத்,61
ஸ்ரீ,61
சேர்த்து,61
மாகாணக்,61
கௌரவ,60
ஒன்றை,60
டீ,60
அவர்கள்,60
சம்பளமற்ற,60
வெவ்வேறாக,60
8,60
மு,60
இன்றேல்,60
சம்பந்தமாக,59
தொடர்பில்,59
பிரசுரிக்கப்பட்டதும்,59
தலைமை,59
2010,59
நியமனம்,59
மாத்திரம்,59
கட்டணம்,59
நடவடிக்கைகளுக்காக,59
நிர்வாக,58
வழங்கல்,58
வியாபாரப்,58
தொழில்நுட்ப,58
அவ்வாறாயின்,58
திட்டத்தின்,57
12,57
பொருளாதார,57
ஓய்வூதிய,57
பொருட்டு,57
தருமாறு,56
சந்தர்ப்பத்தில்,56
உதவியாளர்,56
மாநகர,56
06,56
வசதிகள்,56
6,56
காணி,56
பண்ட,56
மகளிர்,56
எனினும்,56
மேற்குறிப்பிட்ட,56
வரும்,55
யாதென்பதையும்,55
மாதாந்த,55
ஏற்பாடு,55
சேவைக்,54
படிவம்,54
அவர்களின்,54
இணைந்த,54
தாபனப்,54
கூட்டுத்தாபனத்தின்,53
2015,53
தொலைக்காட்சி,53
தினம்,53
மின்வலு,53
கூட்டிணைத்தல்,53
சீ,53
அடையாள,53
விற்பனை,53
25,53
உரிமை,53
வாசிக்கப்படும்,53
வேண்டுமென,52
அளவு,52
செய்வதற்காக,52
திகதியில்,52
நீர்,52
கோறளை,52
நிறைவு,52
நிறுவனங்கள்,52
ஊழியர்களின்,52
நிலைய,52
நிர்மாணப்,52
அதில்,52
விண்ணப்பப்,51
2013,51
போது,51
தனியார்,51
தமது,51
அமைந்துள்ள,51
ஊக்குவிப்பு,51
எமது,51
பிரயாணம்,51
1kg,51
கூறுவாரா,51
2007,50
கைத்தொழில்,50
என்று,50
ஆரம்ப,50
அமைச்சரால்,50
காரணங்கள்,50
பெறும்,50
2009,50
நேரம்,49
விதத்தில்,49
செலுத்த,49
செய்த,49
உற்பத்தி,49
அங்கீகாரம்,49
பெற்றுக்கொள்ள,49
உப,49
அனுப்பி,48
தயாரித்தல்,48
இரு,48
பதவிக்கு,48
என்பன,48
மேலதிகமாக,48
கட்டணங்கள்,48
தற்காலிக,48
சர்வதேச,47
குடியரசு,47
பாடசாலைகளில்,47
பணிப்பாளர்கள்,47
15,47
அதன்படி,47
பல்வேறு,47
பஸ்பாகே,47
கொடுக்க,47
ஒருமைப்பாட்டு,47
